scheduleId,initialized,revocable,revoked,beneficiary,cliff,start,duration,slicePeriodSeconds,amountTotal,immediatelyReleasableAmount,released,staked,withdrawn,left,rewardsPaid
0x90f5d823051855b6a2078a6daff21ef2126143dc9de7953605e0b10a7b36cf25,true,true,false,0x0c3A8c339Ee36E9CdcEF643D1b9727E0D2e1CFF2,1652630400,1644854400,62208000,1,3000000000000000000000000,300000000000000000000000,1429996378968253968253968,0,0,0,0
0xe33157caa205002ed8a41e90669c2fb153b45f8c761af16a5f74d3f0921d1e88,true,true,false,0x6edd136e5E9CBCf8bA9ab00F8Be329Fdd7F0014c,1652630400,1644854400,62208000,1,1500000000000000000000000,150000000000000000000000,150000000000000000000000,150005000000000000000000,150005000000000000000000,0,22847555236160326470470
0x0d8d30175e91d28f243fb1a2457c3bc8eaaecada0404d1367ffb08a800bc3377,true,true,false,0x6c5C1D61715DdBa627884745337954537A6fad66,1652630400,1644854400,62208000,1,2500000000000000000000000,250000000000000000000000,250000000000000000000000,339895014380000000000000,250005000000000000000000,89890014380000000000000,39885014387022164512215
0x4a7462e78b1d3934984eda5c45ca41d6b9a0fad66a9919946188a36ad9911c74,true,true,false,0x6b339824883E59676EA605260E4DdA71DcCA29Ae,1652630400,1644854400,62208000,1,2083334000000000000000000,208333400000000000000000,929694790171990740740740,0,0,0,0
0x73aba9ff3c877ee8761cd4ffd6b40d5e1c08b560515e216f1e37f9e331c4907b,true,true,false,0x700F20b8DA01ac35c697a48D97DcE60e5AA967A1,1652630400,1644854400,62208000,1,10000000000000000000000000,1000000000000000000000000,1000000000000000000000000,1121846800000000000000000,1121846800000000000000000,0,300015245224366029726869
0xf5967a47186d803324a579faf654999c2f8bca7825a1678c1fff9d61e271941c,true,true,false,0xEB373bc886116213BF66E114FCb51bdD57b6A6B9,1652630400,1644854400,62208000,1,3333333000000000000000000,333333300000000000000000,1504461434650843253968253,0,0,0,0
0x30fa320d2c9348897277d5d505c6218a0aa2bb13a09aad80d888bfb0dfa87d6c,true,true,false,0x63A0352715Fd95E9AF653b53B99448B3b923A28D,1652630400,1644854400,62208000,1,1750000000000000000000000,175000000000000000000000,175000000000000000000000,175005000000000000000000,175005000000000000000000,0,49796916650256920004360
0x50dcf84b63b1af571dba3ac9c5ec8256467f440b810c3d058967ed302a474d71,true,true,false,0xD2d6ad06A6AAb4F64Fe32b0EE7bbf328A926Af07,1652630400,1644854400,62208000,1,3333333000000000000000000,333333300000000000000000,1487495166506200396825396,0,0,0,0
0x3eb142749d8fcc2954e4374d95c2d0a4610ea520ebbee66e8c2528d8eabb5495,true,true,false,0x1242a09776F6979B3D9a1c5C797fCEf7E80cB659,1652630400,1644854400,62208000,1,1666666000000000000000000,166666600000000000000000,344916666486541005291005,0,0,0,0
0x1cf7d12c8065d788f14a0c4dd53b25cf4c6d9d2810472062d4679c791bbf75f8,true,true,false,0xFFd3c8d96da27d03BE2cE7E2f9C878a19508Df5d,1652630400,1644854400,62208000,1,10000000000000000000000000,1000000000000000000000000,1000000000000000000000000,1000005000000000000000000,1000005000000000000000000,0,178504766415992802116595
